sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-23 23:40:52,262, 258, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:40:57,263, 259, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:02,262, 253, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:07,260, 254, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:12,262, 254, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:17,261, 253, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:22,260, 253, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:27,261, 253, 0.02, 15, 22, 25, 15, 22, 25
2024-12-23 23:41:32,262, 253, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:37,262, 253, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:42,262, 253, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:47,261, 253, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:52,262, 252, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:41:57,262, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:42:02,261, 252, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:42:07,261, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:42:12,258, 252, 0.01, 14, 20, 23, 14, 20, 23
2024-12-23 23:42:17,261, 252, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:42:22,261, 252, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:42:27,261, 253, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:42:32,261, 253, 0.02, 15, 22, 25, 15, 22, 25
2024-12-23 23:42:37,261, 253, 0.02, 15, 22, 25, 15, 22, 25
2024-12-23 23:42:42,262, 253, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:42:47,260, 255, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:42:52,260, 252, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:42:57,261, 252, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:43:02,261, 253, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:43:07,261, 252, 0.01, 15, 21, 24, 15, 21, 24
2024-12-23 23:43:12,262, 253, 0.03, 15, 21, 24, 15, 21, 24
2024-12-23 23:43:17,262, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:22,261, 254, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:27,262, 253, 0.03, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:32,261, 254, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:37,262, 252, 0.03, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:42,261, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:47,260, 254, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:52,260, 252, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:43:57,259, 252, 0.03, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:02,260, 252, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:07,261, 252, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:12,260, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:17,262, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:22,261, 253, 0.02, 15, 21, 24, 15, 21, 24
2024-12-23 23:44:27,260, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:32,262, 254, 0.03, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:37,260, 252, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:42,259, 253, 0.01, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:47,261, 253, 0.02, 14, 20, 23, 14, 20, 23
2024-12-23 23:44:52,260, 252, 0.02, 14, 20, 23, 14, 20, 23
