sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-16 22:20:58,26.41, 102.75, 57
2024-12-16 22:21:03,26.44, 102.87, 57
2024-12-16 22:21:08,26.47, 102.50, 58
2024-12-16 22:21:13,26.41, 102.12, 57
2024-12-16 22:21:18,26.41, 101.81, 58
2024-12-16 22:21:23,26.44, 101.50, 57
2024-12-16 22:21:28,26.44, 101.19, 57
2024-12-16 22:21:33,26.41, 101.06, 57
2024-12-16 22:21:38,26.41, 101.06, 56
2024-12-16 22:21:43,26.41, 101.06, 56
2024-12-16 22:21:48,26.37, 101.19, 57
2024-12-16 22:21:54,26.37, 101.50, 56
2024-12-16 22:21:59,26.37, 101.69, 57
2024-12-16 22:22:04,26.41, 101.75, 56
2024-12-16 22:22:09,26.34, 101.62, 55
2024-12-16 22:22:14,26.34, 101.50, 56
2024-12-16 22:22:19,26.34, 101.44, 56
2024-12-16 22:22:24,26.34, 101.44, 55
2024-12-16 22:22:29,26.31, 101.37, 56
2024-12-16 22:22:34,26.31, 101.44, 57
2024-12-16 22:22:39,26.28, 101.37, 55
2024-12-16 22:22:44,26.28, 101.37, 56
2024-12-16 22:22:49,26.28, 101.37, 56
2024-12-16 22:22:54,26.28, 101.31, 55
2024-12-16 22:22:59,26.28, 101.37, 55
2024-12-16 22:23:04,26.28, 101.44, 55
2024-12-16 22:23:09,26.28, 101.44, 55
2024-12-16 22:23:14,26.28, 101.44, 54
2024-12-16 22:23:19,26.28, 101.50, 56
2024-12-16 22:23:24,26.25, 101.37, 55
2024-12-16 22:23:29,26.25, 101.19, 55
2024-12-16 22:23:34,26.25, 100.75, 55
2024-12-16 22:23:39,26.25, 100.62, 56
2024-12-16 22:23:45,26.25, 100.69, 55
2024-12-16 22:23:50,26.22, 100.75, 55
2024-12-16 22:23:55,26.22, 100.75, 55
2024-12-16 22:24:00,26.22, 100.81, 55
2024-12-16 22:24:05,26.25, 100.75, 54
2024-12-16 22:24:10,26.22, 100.69, 55
2024-12-16 22:24:15,26.22, 100.81, 55
2024-12-16 22:24:20,26.22, 100.75, 54
2024-12-16 22:24:25,26.25, 100.87, 55
2024-12-16 22:24:30,26.25, 100.94, 55
2024-12-16 22:24:35,26.22, 101.06, 54
2024-12-16 22:24:40,26.22, 100.94, 55
2024-12-16 22:24:45,26.25, 100.87, 54
2024-12-16 22:24:50,26.22, 100.81, 55
2024-12-16 22:24:55,26.25, 100.87, 54
2024-12-16 22:25:00,26.22, 100.81, 56
2024-12-16 22:25:05,26.19, 100.81, 54
2024-12-16 22:25:10,26.19, 100.87, 55
2024-12-16 22:25:15,26.22, 100.81, 54
2024-12-16 22:25:20,26.22, 100.94, 55
2024-12-16 22:25:26,26.19, 100.87, 54
2024-12-16 22:25:31,26.22, 100.87, 54
2024-12-16 22:25:36,26.19, 100.75, 54
2024-12-16 22:25:41,26.22, 100.75, 54
2024-12-16 22:25:46,26.22, 100.81, 54
2024-12-16 22:25:51,26.22, 100.81, 54
2024-12-16 22:25:56,26.22, 100.87, 55
2024-12-16 22:26:01,26.25, 101.00, 54
2024-12-16 22:26:06,26.22, 101.12, 55
2024-12-16 22:26:11,26.22, 101.31, 54
2024-12-16 22:26:16,26.22, 101.37, 55
2024-12-16 22:26:21,26.22, 101.50, 55
2024-12-16 22:26:26,26.19, 101.50, 54
2024-12-16 22:26:31,26.19, 101.50, 55
2024-12-16 22:26:36,26.16, 101.44, 54
2024-12-16 22:26:41,26.19, 101.37, 54
2024-12-16 22:26:46,26.19, 101.25, 55
2024-12-16 22:26:51,26.16, 101.25, 54
2024-12-16 22:26:56,26.16, 101.25, 55
2024-12-16 22:27:01,26.19, 101.31, 55
2024-12-16 22:27:06,26.19, 101.19, 54
2024-12-16 22:27:12,26.19, 100.87, 54
2024-12-16 22:27:17,26.12, 100.81, 55
2024-12-16 22:27:22,26.16, 100.87, 54
2024-12-16 22:27:27,26.16, 100.94, 54
2024-12-16 22:27:32,26.19, 101.12, 54
2024-12-16 22:27:37,26.19, 101.25, 55
2024-12-16 22:27:42,26.16, 101.25, 54
2024-12-16 22:27:47,26.16, 101.31, 54
2024-12-16 22:27:52,26.19, 101.37, 54
2024-12-16 22:27:57,26.19, 101.37, 54
2024-12-16 22:28:02,26.19, 101.31, 55
2024-12-16 22:28:07,26.19, 101.37, 54
2024-12-16 22:28:12,26.19, 101.37, 54
2024-12-16 22:28:17,26.19, 101.37, 54
2024-12-16 22:28:22,26.16, 101.44, 54
2024-12-16 22:28:27,26.22, 101.44, 55
2024-12-16 22:28:32,26.22, 101.56, 54
2024-12-16 22:28:37,26.25, 101.50, 55
2024-12-16 22:28:42,26.22, 101.56, 54
2024-12-16 22:28:47,26.22, 101.56, 55
2024-12-16 22:28:52,26.19, 101.50, 54
2024-12-16 22:28:57,26.19, 101.50, 54
2024-12-16 22:29:03,26.16, 101.62, 55
2024-12-16 22:29:08,26.22, 101.44, 54
2024-12-16 22:29:13,26.19, 101.37, 55
2024-12-16 22:29:18,26.19, 101.31, 55
2024-12-16 22:29:23,26.16, 101.12, 53
2024-12-16 22:29:28,26.19, 100.94, 54
2024-12-16 22:29:33,26.19, 100.81, 55
2024-12-16 22:29:38,26.19, 100.94, 54
2024-12-16 22:29:43,26.22, 101.06, 54
2024-12-16 22:29:48,26.22, 101.19, 54
2024-12-16 22:29:53,26.22, 101.31, 54
2024-12-16 22:29:58,26.22, 101.44, 54
2024-12-16 22:30:03,26.19, 101.62, 54
2024-12-16 22:30:08,26.19, 101.62, 54
2024-12-16 22:30:13,26.25, 101.56, 55
2024-12-16 22:30:18,26.22, 101.37, 55
2024-12-16 22:30:23,26.22, 101.19, 55
2024-12-16 22:30:28,26.22, 100.87, 54
2024-12-16 22:30:33,26.22, 100.69, 54
2024-12-16 22:30:38,26.19, 100.62, 55
2024-12-16 22:30:44,26.19, 100.69, 53
2024-12-16 22:30:49,26.19, 100.69, 55
2024-12-16 22:30:54,26.16, 100.62, 54
2024-12-16 22:30:59,26.16, 100.62, 54
2024-12-16 22:31:04,26.16, 100.69, 55
2024-12-16 22:31:09,26.12, 100.69, 54
2024-12-16 22:31:14,26.16, 100.75, 55
2024-12-16 22:31:19,26.16, 100.87, 54
2024-12-16 22:31:24,26.16, 100.87, 55
2024-12-16 22:31:29,26.12, 100.81, 55
2024-12-16 22:31:34,26.12, 100.94, 54
2024-12-16 22:31:39,26.12, 100.94, 54
2024-12-16 22:31:44,26.12, 100.94, 55
2024-12-16 22:31:49,26.12, 100.87, 54
2024-12-16 22:31:54,26.09, 100.75, 54
2024-12-16 22:31:59,26.12, 100.75, 54
2024-12-16 22:32:04,26.09, 100.75, 54
2024-12-16 22:32:09,26.12, 100.69, 54
2024-12-16 22:32:14,26.12, 100.56, 55
2024-12-16 22:32:19,26.09, 100.31, 53
2024-12-16 22:32:24,26.12, 100.12, 54
2024-12-16 22:32:29,26.12, 100.06, 55
2024-12-16 22:32:35,26.09, 100.00, 54
2024-12-16 22:32:40,26.09, 99.87, 53
2024-12-16 22:32:45,26.09, 99.75, 53
2024-12-16 22:32:50,26.12, 99.94, 54
2024-12-16 22:32:55,26.06, 100.00, 54
2024-12-16 22:33:00,26.06, 100.19, 54
2024-12-16 22:33:05,26.09, 100.19, 54
2024-12-16 22:33:10,26.06, 100.19, 54
2024-12-16 22:33:15,26.06, 100.19, 54
2024-12-16 22:33:20,26.09, 100.25, 54
2024-12-16 22:33:25,26.09, 100.37, 53
2024-12-16 22:33:30,26.09, 100.25, 54
2024-12-16 22:33:35,26.06, 100.00, 55
2024-12-16 22:33:40,26.06, 100.06, 53
2024-12-16 22:33:45,26.06, 100.19, 54
2024-12-16 22:33:50,26.09, 100.31, 54
2024-12-16 22:33:55,26.03, 100.44, 53
2024-12-16 22:34:00,26.03, 100.50, 54
2024-12-16 22:34:05,26.09, 100.56, 54
2024-12-16 22:34:11,26.06, 100.62, 55
2024-12-16 22:34:16,26.06, 100.69, 54
2024-12-16 22:34:21,26.09, 100.69, 54
2024-12-16 22:34:26,26.09, 100.69, 54
2024-12-16 22:34:31,26.03, 100.81, 53
2024-12-16 22:34:36,26.06, 100.87, 55
2024-12-16 22:34:41,26.09, 100.87, 54
2024-12-16 22:34:46,26.06, 100.81, 53
